Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0098325143429585,-5.25402826668038E-05,0.392384583771952,0,0,0,1.52093247375048,0.0176542350747674,-3.06486251135192E-08,2.89095999810399E-05,0.0170775483739283,-6.04177568974501E-08,0.00135407024623668,0,0,0,0,0,0,package://0robot.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/base_link.STL,,jetson-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-12;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-10;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-11;R-1;ISL60-200 一体机3D图-1;12_X2_95C08DE8568E675E31267CA69367FFFD_X0__stp-1;deep groove ball bearings gb_Rolling bearings 608 GB 276-94_stp-2;mid360-1;_X2_4E1D6746_X0_-500-1;16_X2_94FB70D8761D_X0__stp-1;deep groove ball bearings gb_Rolling bearings 608 GB 276-94_stp-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-5;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-5;12_X2_7EFE80EF5EFA_X0__stp-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-8;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-6;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-3;GF40_X2_675E5B5858D99417FFFD_X0__stp-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-4;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-4;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-9;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-7;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-6;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-3;GF40_X2_5A0966DE53DE_X0_57_stp-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-1;SX674_stp-1;_X2_7039590EE5CA93C0E21B7066_X0_2_stp-1;_X2_93526C2D20AC04464EC8675E67516AD2_X0__stp-1;GF40_X2_93685B2B6F57_X0__stp-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X10-N_st_p-1;hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M4X10-N_st_p-2;GF40_X2_93C0E21B62FA9417FFFD_X0__stp-1;GF40_X2_942968286F98_X0__stp-1;base_print-1,坐标系1base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
whell_left_link,-7.85437210625017E-07,0.000481373425572085,1.11756020026998E-06,0,0,0,0.315479735385035,0.000221117820208823,3.58338438686885E-10,-6.72123977051147E-09,0.000357084383299597,1.42519931702684E-08,0.000221134649609164,0,0,0,0,0,0,package://0robot.SLDASM/meshes/whell_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/whell_left_link.STL,,left_wheel-1,坐标系2wheelleft,基准轴1wheel,whell_left_joint,continuous,0,0.188,0.04,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_right_link,7.8544E-07,-0.00048137,1.1176E-06,0,0,0,0.31548,0.00022112,3.5831E-10,6.7212E-09,0.00035708,-1.4252E-08,0.00022113,0,0,0,0,0,0,package://0robot.SLDASM/meshes/wheel_right_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/wheel_right_link.STL,,right_wheel-1,坐标系3wheelright,基准轴1wheel,wheel_right_joint,continuous,0,-0.188,0.04,0,0,0,base_link,0,1,0,,,,,,,,,,,,
screw_link,-0.0223688776113594,6.2820359101037E-06,-0.0190287645686289,0,0,0,0.266367645981795,0.00245967565059239,3.30950035005088E-09,-1.52531776687285E-06,0.000120948281441654,-3.29427001439406E-09,0.00247208394953323,0,0,0,0,0,0,package://0robot.SLDASM/meshes/screw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/screw_link.STL,,carmra-1,坐标系4screw,基准轴2screw,screw_joint,prismatic,0.061648,5E-05,0.48875,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
camera_link,-0.012844,-0.0004913,0.00011816,0,0,0,0.032639,4.0769E-05,-2.0296E-07,8.1065E-08,4.4252E-06,2.2503E-07,4.0166E-05,0,0,0,0,0,0,package://0robot.SLDASM/meshes/camera_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/camera_link.STL,,[3D][STP]Gemini 336L Asm with FOV_20240517-1,坐标系5camera,,camera_joint,fixed,0.067499,6.1597E-05,0.78446,0,0,0,base_link,0,0,0,,,,,,,,,,,,
livox_link,-0.0011535,-1.685E-05,0.004186,0,0,0,0.052593,1.1365E-05,-5.6844E-09,5.266E-10,1.1397E-05,-6.4096E-10,1.9179E-05,0,0,0,0,0,0,package://0robot.SLDASM/meshes/livox_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0robot.SLDASM/meshes/livox_link.STL,,mid-360-asm-1,坐标系7livox,,livox_joint,fixed,0.017002,5.3506E-05,0.87097,0,0.34907,0.00016022,base_link,0,0,0,,,,,,,,,,,,
