Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.11544500205192,0.265203405324961,-0.252162286861923,0,0,0,1.59748726088602,0.00140482023652803,3.03994060131071E-05,1.66166306888673E-07,0.0177022267151651,-2.39284079638878E-07,0.0170900575364486,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/base_link.STL,,base_print-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-7.8544E-07,0.00048137,1.1176E-06,0,0,0,0.31548,0.00022112,3.5831E-10,-6.7212E-09,0.00035708,1.4252E-08,0.00022113,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/wheel_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/wheel_left_link.STL,,left_wheel-1,坐标系2leftwheel,基准轴1wheel,wheel_left_joint,continuous,0.74187,0.064039,0.27294,0,-1.5708,0,base_link,0,-1,0,,,,,,,,,,,,
wheel_right_link,7.8544E-07,-0.00048137,1.1176E-06,0,0,0,0.31548,0.00022112,3.5832E-10,6.7212E-09,0.00035708,-1.4252E-08,0.00022113,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/wheel_right_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/wheel_right_link.STL,,right_wheel-1,坐标系3rightwheel,基准轴1wheel,wheel_right_joint,continuous,0.74187,0.44004,0.27293,0,-1.5708,0,base_link,0,-1,0,,,,,,,,,,,,
screw_link,-0.019569,6.8668E-05,-0.018267,0,0,0,0.28998,0.0024651,3.3095E-09,-1.5271E-06,0.00012534,-3.2943E-09,0.0024814,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/screw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/screw_link.STL,,carmra-1,坐标系4screw,基准轴2screw,screw_joint,prismatic,1.1233,0.25204,0.33458,0,-1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
camera_link,-0.012844,-0.00048924,0.00011816,0,0,0,0.032639,4.0769E-05,-2.0878E-07,8.1101E-08,4.4253E-06,2.2502E-07,4.0166E-05,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/camera_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/camera_link.STL,,base_print-1/GF40-500-1/[3D][STP]Gemini 336L Asm with FOV_20240517-1,坐标系5camera,,camera_joint,fixed,1.4863,0.25203,0.34043,-1.5708,-1.5706,-1.5708,base_link,0,0,0,,,,,,,,,,,,
livox_link,-0.0011535,-1.685E-05,0.004186,0,0,0,0.052593,1.1365E-05,-5.6844E-09,5.266E-10,1.1397E-05,-6.4096E-10,1.9179E-05,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/livox_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0all_robot.SLDASM/meshes/livox_link.STL,,base_print-1/GF40-500-1/mid-360-asm-1,坐标系6livox,,livox_joint,fixed,1.5728,0.25204,0.28994,-0.00046846,-1.2217,-3.1412,base_link,0,0,0,,,,,,,,,,,,
